x,y,grad_x,grad_y,magnitude,valid
-4.607,-2.301,-24.014288,70.250716,74.241829,1
-4.107,-2.301,4.207344,-19.813316,20.255104,0
-3.607,-2.301,7.374308,2.887608,7.919514,1
-3.107,-2.301,5.744195,17.966491,18.862412,1
-2.607,-2.301,5.078845,22.669478,23.231442,1
-2.107,-2.301,4.800223,24.200150,24.671631,1
-1.607,-2.301,4.762154,24.373985,24.834839,1
-1.107,-2.301,4.747837,24.431700,24.888751,1
-0.607,-2.301,5.059689,24.199456,24.722745,1
-0.107,-2.301,12.881315,19.377249,23.268134,1
0.393,-2.301,35.549104,5.084158,35.910826,1
0.893,-2.301,54.611240,-6.256183,54.968421,1
1.393,-2.301,0.000000,0.000000,0.000000,0
1.893,-2.301,0.000000,0.000000,0.000000,0
2.393,-2.301,0.000000,0.000000,0.000000,0
2.893,-2.301,0.000000,0.000000,0.000000,0
3.393,-2.301,0.000000,0.000000,0.000000,0
3.893,-2.301,0.000000,0.000000,0.000000,0
4.393,-2.301,0.000000,0.000000,0.000000,0
4.893,-2.301,0.000000,0.000000,0.000000,0
5.393,-2.301,0.000000,0.000000,0.000000,0
5.893,-2.301,0.000000,0.000000,0.000000,0
6.393,-2.301,0.000000,0.000000,0.000000,0
6.893,-2.301,0.000000,0.000000,0.000000,0
7.393,-2.301,0.000000,0.000000,0.000000,0
7.893,-2.301,0.000000,0.000000,0.000000,0
8.393,-2.301,0.000000,0.000000,0.000000,0
8.893,-2.301,0.000000,0.000000,0.000000,0
9.393,-2.301,0.000000,0.000000,0.000000,0
9.893,-2.301,0.000000,0.000000,0.000000,0
-4.607,-1.801,-8.722229,18.839122,20.760294,1
-4.107,-1.801,8.854575,-25.561374,27.051568,1
-3.607,-1.801,6.562097,11.380695,13.137022,1
-3.107,-1.801,5.078845,22.669478,23.231442,1
-2.607,-1.801,4.762154,24.373985,24.834839,1
-2.107,-1.801,4.747837,24.431700,24.888751,1
-1.607,-1.801,4.665300,24.716813,25.153248,1
-1.107,-1.801,4.364721,25.670665,26.039083,1
-0.607,-1.801,4.668073,25.451622,25.876166,1
-0.107,-1.801,9.387022,23.261115,25.083772,1
0.393,-1.801,26.945385,11.854478,29.437772,1
0.893,-1.801,53.722415,-4.075582,53.876788,1
1.393,-1.801,99.590670,-25.948008,102.915503,1
1.893,-1.801,0.000000,0.000000,0.000000,0
2.393,-1.801,0.000000,0.000000,0.000000,0
