grid_x,grid_y,x,y,light_intensity,timestamp,yaw
-19,-7,-3.606932,-1.301143,32.976,1.888,0.000000
-18,-7,-3.401308,-1.286711,36.882,3.264,0.165060
-17,-7,-3.203194,-1.230310,40.624,4.640,0.384518
-16,-7,-3.137618,-1.200624,41.540,5.120,0.460536
-16,-6,-3.044786,-1.150308,42.158,5.568,0.508559
-15,-6,-2.994397,-1.122403,42.265,5.760,0.501690
-14,-6,-2.795276,-1.027397,41.829,6.496,0.370106
-14,-5,-2.713472,-0.999663,41.077,6.784,0.291455
-13,-5,-2.591892,-0.971867,39.202,7.200,0.165050
-12,-5,-2.390954,-0.961166,34.514,7.872,-0.046929
-11,-6,-2.169399,-1.000077,26.730,9.024,-0.298870
-11,-5,-2.197008,-0.991883,27.588,8.832,-0.272951
-10,-6,-1.807333,-1.111137,33.197,10.528,-0.173821
-9,-6,-1.606499,-1.118111,44.203,11.200,0.101099
-8,-6,-1.403491,-1.051744,57.025,12.288,0.613294
-7,-6,-1.356892,-1.010413,58.650,12.704,0.821698
-7,-5,-1.347427,-0.999562,58.713,12.800,0.869385
-7,-4,-1.206249,-0.604717,56.458,14.496,1.310448
-7,-3,-1.201205,-0.586191,56.970,14.560,1.302963
-6,-3,-1.138546,-0.404860,64.089,15.200,1.172910
-6,-2,-1.038425,-0.208233,71.156,15.936,1.046772
-6,-1,-1.004120,-0.150450,72.886,16.160,1.027230
-5,-1,-0.912903,-0.003689,76.899,16.736,1.012093
-5,0,-0.802485,0.176342,81.399,17.440,1.034552
-4,0,-0.792721,0.192874,81.781,17.504,1.038255
-4,1,-0.680695,0.394173,86.431,18.272,1.090492
-4,2,-0.603361,0.548696,90.220,18.848,1.118285
-3,2,-0.582509,0.591930,91.385,19.008,1.123097
-3,3,-0.482265,0.799378,98.368,19.776,1.112209
-3,4,-0.403942,0.953403,104.376,20.352,1.087526
-2,4,-0.381357,0.995757,106.290,20.512,1.076239
-2,5,-0.264980,1.194549,115.961,21.280,1.004497
-2,6,-0.200441,1.289955,121.239,21.664,0.949531
-1,6,-0.117780,1.395885,127.601,22.112,0.870675
-1,7,-0.005588,1.514280,134.030,22.656,0.755385
0,7,0.089679,1.594820,137.676,23.072,0.657132
0,8,0.199963,1.671563,141.271,23.520,0.569080
1,8,0.392781,1.778916,145.625,24.256,0.458728
2,8,0.436059,1.799677,146.801,24.416,0.439822
2,9,0.594430,1.868766,152.789,24.992,0.394481
3,9,0.798696,1.952598,164.180,25.728,0.393924
4,9,0.904704,1.997687,172.861,26.112,0.409165
4,10,0.992583,2.036330,180.039,26.432,0.419274
5,10,1.193356,2.128209,195.707,27.168,0.433360
6,10,1.341354,2.196990,208.936,27.712,0.433853
6,11,1.393676,2.221077,212.997,27.904,0.429512
7,11,1.595173,2.311348,228.134,28.640,0.405345
8,11,1.791529,2.389042,239.922,29.344,0.346460
9,11,1.818682,2.398641,240.872,29.440,0.336547
9,12,1.993035,2.452064,243.574,30.048,0.259139
10,12,2.123986,2.482220,244.487,30.496,0.198636
11,12,2.208999,2.497614,243.801,30.784,0.162810
12,12,2.409184,2.520941,237.463,31.456,0.078026
13,12,2.792532,2.541490,284.096,32.736,0.112856
14,12,2.998893,2.584955,383.667,33.440,0.297400
15,12,3.035364,2.596968,401.862,33.568,0.330585
15,13,3.194194,2.664750,478.324,34.144,0.453263
16,13,3.357572,2.745840,517.139,34.752,0.443753
17,13,3.401232,2.765783,513.272,34.912,0.417185
17,14,3.490366,2.801384,487.259,35.232,0.348004
18,14,3.600403,2.835349,436.254,35.616,0.256859
19,14,3.808426,2.870250,275.300,36.320,0.082425
20,14,4.000244,2.870696,48.620,36.960,-0.069627
21,14,4.208911,2.839194,0.000,37.664,-0.203909
22,14,4.402529,2.805057,0.000,38.720,-0.064289
23,14,4.797963,2.919992,3.406,40.448,0.544403
24,14,4.906493,2.999039,98.465,40.896,0.701016
24,15,4.995684,3.086199,175.146,41.312,0.834993
25,15,5.084149,3.199683,233.888,41.792,0.971029
25,16,5.190284,3.392948,283.489,42.528,1.153339
25,17,5.197888,3.410578,286.086,42.592,1.166987
25,23,5.198962,4.763227,261.553,47.200,1.903235
25,24,5.182731,4.808399,259.806,47.360,1.923949
26,17,5.260955,3.591773,303.258,43.232,1.300566
26,18,5.297421,3.760599,305.092,43.808,1.407559
26,19,5.304449,3.808080,304.667,43.968,1.434479
26,20,5.320323,4.008949,298.692,44.640,1.544975
26,21,5.315703,4.200822,289.907,45.280,1.641120
26,22,5.291422,4.400879,279.272,45.952,1.736204
26,23,5.246809,4.607238,268.020,46.656,1.829091
