grid_x,grid_y,x,y,total_light,timestamp,yaw,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15
-25,-15,-5.000000,-3.000000,1502.294,0.832,0.0,229.429,290.051,302.532,264.404,183.699,77.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21.453,133.710
-25,-14,-5.000000,-2.800000,1533.271,1.632,0.0,236.409,296.955,308.109,267.701,184.264,74.951,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.313,139.569
-25,-13,-5.000000,-2.600000,1564.532,2.432,0.0,243.568,303.963,313.697,270.913,184.674,72.693,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.384,145.641
-25,-12,-5.000000,-2.400000,1596.033,3.232,0.0,250.903,311.070,319.284,274.028,184.915,70.232,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.671,151.932
-25,-11,-5.000000,-2.200000,1627.729,4.032,0.0,258.412,318.266,324.857,277.033,184.977,67.560,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,38.183,158.442
-25,-10,-5.000000,-2.000000,1659.567,4.832,0.0,266.091,325.544,330.404,279.913,184.847,64.669,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,42.926,165.175
-25,-9,-5.000000,-1.800000,1691.492,5.632,0.0,273.935,332.892,335.911,282.655,184.513,61.550,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,47.906,172.131
-25,-8,-5.000000,-1.600000,1723.441,6.432,0.0,281.939,340.299,341.363,285.242,183.963,58.196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,53.129,179.311
-25,-7,-5.000000,-1.400000,1755.348,7.232,0.0,290.096,347.752,346.743,287.658,183.182,54.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,58.601,186.715
-25,-6,-5.000000,-1.200000,1787.140,8.032,0.0,298.398,355.237,352.035,289.888,182.160,50.753,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.328,194.342
-25,-5,-5.000000,-1.000000,1818.740,8.832,0.0,306.834,362.738,357.220,291.914,180.883,46.650,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,70.312,202.189
-25,-4,-5.000000,-0.800000,1850.064,9.632,0.0,315.394,370.239,362.280,293.719,179.339,42.284,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,76.558,210.252
-25,-3,-5.000000,-0.600000,1881.025,10.432,0.0,324.065,377.721,367.193,295.284,177.515,37.650,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,83.069,218.527
-25,-2,-5.000000,-0.400000,1911.526,11.232,0.0,332.833,385.165,371.939,296.592,175.400,32.744,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,89.845,227.007
-25,-1,-5.000000,-0.200000,1941.471,12.032,0.0,341.682,392.549,376.497,297.625,172.983,27.563,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,96.888,235.684
-25,0,-5.000000,0.000000,1970.754,12.832,0.0,350.595,399.852,380.842,298.364,170.252,22.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,104.197,244.549
-25,1,-5.000000,0.200000,1999.266,13.632,0.0,359.551,407.048,384.953,298.791,167.198,16.367,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,111.768,253.590
-25,2,-5.000000,0.400000,2026.895,14.432,0.0,368.531,414.114,388.804,298.889,163.812,10.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,119.600,262.794
-25,3,-5.000000,0.600000,2053.523,15.232,0.0,377.511,421.022,392.373,298.641,160.086,4.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,127.685,272.147
-25,4,-5.000000,0.800000,2081.540,16.032,0.0,386.467,427.745,395.634,298.029,156.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,136.019,281.632
-25,5,-5.000000,1.000000,2112.639,16.832,0.0,395.373,434.255,398.563,297.038,151.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,144.590,291.229
-25,6,-5.000000,1.200000,2142.632,17.632,0.0,404.200,440.523,401.137,295.653,146.812,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,153.389,300.918
-25,7,-5.000000,1.400000,2171.385,18.432,0.0,412.920,446.519,403.330,293.862,141.677,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,162.403,310.676
-25,8,-5.000000,1.600000,2202.947,19.232,0.0,421.501,452.212,405.120,291.651,136.185,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.184,171.616,320.477
-25,9,-5.000000,1.800000,2236.278,20.032,0.0,429.912,457.573,406.484,289.010,130.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.650,181.012,330.296
-25,10,-5.000000,2.000000,2268.249,20.832,0.0,438.120,462.571,407.403,285.932,124.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19.406,190.571,340.104
-25,11,-5.000000,2.200000,2298.715,21.632,0.0,446.091,467.175,407.855,282.410,117.603,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.441,200.271,349.869
-25,12,-5.000000,2.400000,2327.530,22.432,0.0,453.790,471.358,407.822,278.440,110.728,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35.742,210.089,359.560
-25,13,-5.000000,2.600000,2354.552,23.232,0.0,461.183,475.089,407.290,274.020,103.529,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,44.296,220.000,369.144
